
BasicModel: Loading and testing schedule from file

Configuration: 

customers=Usuarios.txt
resources=Auxiliares.txt
services=clusters_originalLong/Servicios_lunes_c11.txt
locations=clusters_originalLong/Cluster_completo_j12_c11.txt
solution=null
solutionVAR=null

Adding 0 additional subservices: 

# customer, serviceReference, dayOfWeek, minHour, minMinute, maxHour, maxMinute, duration, latitude, longitude
--------
1993,1993.0.13:15.90/0,0,7,0,20,30,90,40.407,-3.7032
1998,1998.0.09:30.90/0,0,8,30,10,30,90,40.41,-3.701
1999,1999.0.12:35.120/0,0,11,35,13,35,120,40.406,-3.7001
1999,1999.0.20:40.60/0,0,19,40,21,0,60,40.406,-3.7001
2045,2045.0.08:55.120/0,0,7,0,20,0,120,40.409,-3.7009
2056,2056.0.13:05.120/0,0,7,0,20,0,120,40.41,-3.7015
2080,2080.0.09:00.90/0,0,8,0,10,0,90,40.411,-3.7023
2101,2101.0.10:15.120/0,0,7,0,20,0,120,40.411,-3.7155
2109,2109.0.11:15.90/0,0,10,15,12,15,90,40.408,-3.7044
2125,2125.0.11:20.120/0,0,7,0,20,0,120,40.412,-3.6975
2127,2127.0.16:50.60/0,0,15,50,17,50,60,40.414,-3.6989
2127,2127.0.12:45.120/0,0,11,45,13,45,120,40.414,-3.6989
2159,2159.0.13:20.120/0,0,7,0,20,0,120,40.409,-3.7086
2177,2177.0.10:40.30/0,0,9,40,11,40,30,40.413,-3.707
2177,2177.0.20:50.30/0,0,19,50,21,30,30,40.413,-3.707
2191,2191.0.10:40.90/0,0,9,40,11,40,90,40.411,-3.7053
2226,2226.0.10:50.60/0,0,9,50,11,50,60,40.409,-3.7039
2227,2227.0.07:00.120/0,0,7,0,20,0,120,40.411,-3.7053
2233,2233.0.11:10.60/0,0,11,10,11,10,60,40.412,-3.7023
2233,2233.0.10:35.120/0,0,10,35,10,35,120,40.412,-3.7023
2240,2240.0.18:35.90/0,0,17,35,19,35,90,40.407,-3.6953
2240,2240.0.14:30.90/0,0,13,30,15,30,90,40.407,-3.6953
2242,2242.0.08:00.120/0,0,7,0,9,0,120,40.408,-3.703
2246,2246.0.10:05.90/0,0,7,0,20,30,90,40.409,-3.6993
2267,2267.0.09:35.120/0,0,7,0,20,0,120,40.407,-3.7021
2269,2269.0.11:30.120/0,0,10,30,12,30,120,40.407,-3.7032
2269,2269.0.19:25.60/0,0,18,25,20,25,60,40.407,-3.7032
2287,2287.0.11:45.90/0,0,10,45,12,45,90,40.41,-3.7131
2291,2291.0.12:10.90/0,0,7,0,20,30,90,40.412,-3.7106
2325,2325.0.10:00.120/0,0,9,0,11,0,120,40.416,-3.7103
2343,2343.0.13:20.90/0,0,7,0,20,30,90,40.409,-3.7091
2363,2363.0.10:35.90/0,0,7,0,20,30,90,40.41,-3.6991
2375,2375.0.09:35.60/0,0,8,35,10,35,60,40.411,-3.6986
